tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1975-1602,San Antonio WCT,Hard,32,A,1975-02-23,1,100060,1,NA,Marty Riessen,R,185,USA,33.2210814511,100270,NA,NA,Anand Amritraj,R,185,IND,22.9295003422,6-3 6-2,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-1602,San Antonio WCT,Hard,32,A,1975-02-23,2,100055,NA,NA,Cliff Drysdale,R,188,RSA,33.7467488022,100204,NA,NA,Pancho Walthall,R,NA,USA,25.0184804928,6-2 6-3,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-1602,San Antonio WCT,Hard,32,A,1975-02-23,3,100232,NA,NA,Eddie Dibbs,R,170,USA,24,100076,NA,NA,Milan Holecek,R,190,CZE,31.3374401095,6-4 6-4,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-1602,San Antonio WCT,Hard,32,A,1975-02-23,4,100244,6,NA,John Alexander,R,190,AUS,23.6413415469,100139,NA,NA,Gerald Battrick,R,178,GBR,27.7453798768,6-0 6-1,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-1602,San Antonio WCT,Hard,32,A,1975-02-23,5,100205,5,NA,Paul Gerken,R,185,USA,24.9445585216,100146,NA,NA,Jun Kamiwazumi,R,NA,JPN,27.3976728268,6-4 6-0,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-1602,San Antonio WCT,Hard,32,A,1975-02-23,6,100175,NA,NA,Zan Guerry,R,NA,USA,26.0287474333,100220,NA,NA,Jiri Hrebec,R,NA,CZE,24.4298425736,6-3 6-7(2) 6-3,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-1602,San Antonio WCT,Hard,32,A,1975-02-23,7,100061,NA,NA,Tom Edlefsen,R,188,USA,33.1991786448,100025,NA,NA,Barry Phillips Moore,R,173,AUS,37.6262833676,6-3 7-5,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-1602,San Antonio WCT,Hard,32,A,1975-02-23,8,100229,NA,NA,Dick Stockton,R,188,USA,24.0136892539,100128,4,NA,Cliff Richey,R,175,USA,28.1478439425,2-6 6-4 6-2,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-1602,San Antonio WCT,Hard,32,A,1975-02-23,9,100126,3,NA,Stan Smith,R,193,USA,28.1943874059,100251,NA,NA,Grover Raz Reid,R,NA,USA,23.4934976044,6-4 6-1,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-1602,San Antonio WCT,Hard,32,A,1975-02-23,10,100073,NA,NA,Mark Cox,L,NA,GBR,31.6386036961,100106,NA,NA,Graham Stilwell,R,173,GBR,29.273100616,6-4 6-2,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-1602,San Antonio WCT,Hard,32,A,1975-02-23,11,100321,NA,NA,Vijay Amritraj,R,193,IND,21.1937029432,100133,NA,NA,Pat Cramer,R,NA,RSA,27.9288158795,6-1 6-7(5) 6-3,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
